Course_ID,Course_Name,Category,Subcategory,Language,Instructor,Duration_Hours,Views,Ratings,Number_of_Reviews,Skills,Skill_Count,Subtitles,Course_Level,Course_Price,Enrollment,Course_Date,Course_Year,Course_Month,Views_Outlier,Duration_Outlier
CRS10362,Advanced Personal Finance Masterclass,Personal Development,Personal Finance,Hindi,Carlos Zhang,3.7,1626,3.8,94,"SQL, Kubernetes",2,No,Intermediate,99.99,262,2024-05-10,2024,5,False,False
CRS10423,UX/UI Design: Zero to Hero,Design,Ux/Ui Design,Mandarin,Aisha Garcia,15.2,720,4.0,19,"Unreal Engine, Photoshop",2,Yes,All Levels,99.99,164,2024-02-17,2024,2,False,True
CRS10068,Practical 3D & Animation Projects,Design,3D & Animation,Japanese,Ahmed Zhang,11.6,10336,4.2,160,Video Editing,1,No,Beginner,12.99,1535,2025-06-15,2025,6,False,False
CRS10780,Project Management: Zero to Hero,Business,Project Management,Spanish,Sofia Chen,4.8,6011,4.1,144,Piano,1,No,Intermediate,0.0,522,2025-11-26,2025,11,False,False
CRS10395,Complete Entrepreneurship Bootcamp,Business,Entrepreneurship,Hindi,Thomas Fernandez,7.2,1640,4.7,48,"After Effects, Financial Modeling, Data Visualization, Cybersecurity Basics, HTML/CSS",5,No,Intermediate,9.99,315,2023-04-01,2023,4,False,False
CRS10606,Practical Cloud Computing Projects,It & Software,Cloud Computing,French,Michael Weber,4.9,1279,4.3,31,"Photoshop, After Effects, Negotiation, Google Ads",4,No,Advanced,49.99,233,2024-06-12,2024,6,False,False
CRS10847,Personal Finance for Beginners,Personal Development,Personal Finance,Hindi,Anastasia Chen,6.4,9105,4.7,537,"Git, Statistics",2,Yes,Beginner,99.99,2250,2024-01-02,2024,1,False,False
CRS10605,Game Development Crash Course,Development,Game Development,English,Yusuf Novak,4.6,606,4.2,6,JavaScript,1,Yes,Advanced,79.99,106,2023-08-17,2023,8,False,False
CRS10024,Instruments for Beginners,Music,Instruments,Hindi,Neha Ali,4.5,1953,4.3,33,"Public Speaking, Agile, HTML/CSS, Video Editing, Git",5,No,All Levels,9.99,288,2025-08-30,2025,8,False,False
CRS10813,Photography Basics for Beginners,Photography & Video,Photography Basics,French,Hiro Singh,7.3,6632,4.6,320,"Power BI, AWS, Unity, Public Speaking, C++",5,Yes,Advanced,59.99,482,2023-03-30,2023,3,False,False
