Course_ID,Course_Name,Category,Subcategory,Language,Instructor,Duration_Hours,Views,Ratings,Number_of_Reviews,Skills,Subtitles,Course_Level,Course_Price,Enrollment,Course_Date
CRS10362,Advanced Personal Finance Masterclass,Personal Development,Personal Finance,Hindi,Carlos Zhang,3.7,1626,3.8,94.0,"SQL, Kubernetes",No,Intermediate,99.99,262,2024/05/10
CRS10423,UX/UI Design: Zero to Hero,Design,UX/UI Design,Mandarin,Aisha Garcia,15.2,720,4.0,19.0,"Unreal Engine, Photoshop",Yes,All Levels,99.99,164,02-17-2024
CRS10068,Practical 3D & Animation Projects,Design,3D & Animation,Japanese,Ahmed Zhang,11.6,10336,4.2,160.0,Video Editing,No,Beginner,12.99,1535,2025/06/15
CRS10780,Project Management: Zero to Hero,Business,project management,Spanish,Sofia Chen,4.8,6011,4.1,144.0,Piano,No,Intermediate,0.0,522,26/11/2025
CRS10395,Complete Entrepreneurship Bootcamp,Business,Entrepreneurship,Hindi,Thomas Fernandez,7.2,1640,4.7,48.0,"After Effects, Financial Modeling, Data Visualization, Cybersecurity Basics, HTML/CSS",No,Intermediate,9.99,315,2023-04-01
CRS10606,Practical Cloud Computing Projects,IT & Software,Cloud Computing,french,  Michael Weber  ,4.9,1279,,31.0,"Photoshop, After Effects, Negotiation, Google Ads",,Advanced,49.99,233,06-12-2024
CRS10847,Personal Finance for Beginners,Personal Development,Personal Finance,,ANASTASIA CHEN,6.4,9105,4.7,537.0,"Git, Statistics",Yes,Beginner,99.99,2250,2024/01/02
CRS10605,Game Development Crash Course,Development,Game Development,English,Yusuf Novak,4.6,606,4.2,6.0,JavaScript,Yes,Advanced,79.99,106,17/08/2023
CRS10024,Instruments for Beginners,Music, Instruments ,Hindi,Neha Ali,4.5,"1,953",,33.0,"Public Speaking, Agile, HTML/CSS, Video Editing, Git",,All Levels,9.99,288,2025/08/30
CRS10813,Photography Basics for Beginners,Photography & Video,Photography Basics,French,Hiro Singh,7.3,6632,4.6,320.0,"Power BI, AWS, Unity, Public Speaking, C++",Y,Advanced,59.99,482,2023-03-30
CRS10077,Complete Project Management Bootcamp, Business ,Project Management,Mandarin,Priya Diaz,11.6,3902,4.8,119.0,Financial Modeling,no,Advanced,12.99,408,08-01-2023
